geoValue,dataValue
Allegheny West,56.85
Belmont,66.11
Brewerytown,53.73
Bridesburg,31.85
Bustleton,25.48
Byberry,15.70
Cedar Park,44.32
Cedarbrook,23.09
Center City East,27.38
Center City West,23.31
Chestnut Hill,10.20
Cobbs Creek,49.19
East Falls,24.83
East Germantown,51.84
East Mount Airy,24.82
East Oak Lane,29.39
Eastwick,36.74
Elmwood,57.39
Fairhill,80.48
Fairmount,32.77
Fishtown,42.91
Fox Chase,22.44
Frankford,46.95
Germantown,42.21
Girard Estates,41.22
Grays Ferry,57.68
Haddington,55.29
Harrowgate,76.58
Hartranft,62.15
Holmesburg,21.94
Hunting Park,71.28
Juniata Park,56.00
Kensington,53.26
Kingsessing,54.59
Lawncrest,35.59
Logan,47.14
Manayunk,26.99
Marconi Plaza,24.94
Mayfair,25.01
Mill Creek,60.70
North Central,69.68
Ogontz,47.15
Olney,45.49
Overbrook,34.22
Oxford Circle,32.44
Pennsport,43.16
Pennypack,22.73
Pennypack Park,9.20
Point Breeze,61.09
Poplar,56.63
Powelton,49.39
Rhawnhurst,26.98
Richmond,52.87
Riverfront,11.60
Roxborough,20.28
Schuylkill,49.89
Somerton,23.69
South Philadelphia,48.40
Strawberry Mansion,67.44
Tacony,32.96
Tioga,53.88
University City,42.14
West Kensington,72.71
West Mount Airy,17.86
West Oak Lane,30.79
West Torresdale,15.98
Wharton,45.57
Wissahickon Park,23.76
Wynnefield,33.58
